ad5vlve,Viva Las Vegas 
ad5vlvf,Viva Las Vegas 
ad5vpa,Video Poker Ace 
ad5vpaa,Video Poker Ace 
ad5vpab,Video Poker Ace 
ad5vpac,Video Poker Ace 
ad_59mc07,Alpha Denshi 59MC07 sound board 
adacp150p,CP-150 Plus 
adam,Adam 
adds2020,ADDS 2020 
adillor,Armadillo Racing 
adillorj,Armadillo Racing 
adm12,ADM 12 Video Display Terminal 
adm23,ADM 23 Smart Terminal 
adm31,ADM-31 Data Display Terminal 
adm36,ADM 36 Video Display Terminal 
adonis,Adonis 
adonisa,Adonis 
adonisa6,Adonis 
adonisce,Adonis: Cash Express 
adonisu,Adonis 
adpoker,Amstar Draw Poker 
adults,Adults Only 
adultsa,Adults Only 
aduskcm,African Dusk: Mr. Cashman 
advision,Adventure Vision 
advsnha,Advision Home Arcade 
aerfboo2,Aero Fighters 
aerfboot,Aero Fighters 
aeroboto,Aeroboto 
aerofgt,Aero Fighters 
aerofgtb,Aero Fighters 
aerofgtc,Aero Fighters 
aerofgts,Aero Fighters Special 
aerofgtst,Aero Fighters Special 
aerolitos,Aerolitos 
aes,Neo-Geo AES 
afbm7800,Atari Flashback Mini 7800 
afighter,Action Fighter 
afightera,Action Fighter 
afighterb,Action Fighter 
afighterc,Action Fighter 
afighterd,Action Fighter 
afightere,Action Fighter 
afighterf,Action Fighter 
afighterg,Action Fighter 
afighterh,Action Fighter 
afire,Astro Fire 
afm_10,Attack From Mars 
afm_11,Attack From Mars 
afm_113,Attack From Mars 
afm_113b,Attack From Mars 
afm_11u,Attack From Mars 
afterhrs,After Hours 
aftor,Af-Tor 
aftrshok,Aftershock 
aftrshoka,Aftershock 
afv_l4,Addams Family Values 
agallet,Air Gallet 
agalleta,Air Gallet 
agalletah,Air Gallet 
agalletaj,Akuu Gallet 
agalletak,Air Gallet 
agalletat,Air Gallet 
agalletau,Air Gallet 
agalleth,Air Gallet 
agalletj,Akuu Gallet 
agalletk,Air Gallet 
agallett,Air Gallet 
agalletu,Air Gallet 
agat7,Agat-7 
agat9,Agat-9 
age_cand,Candy Crane 
agent777,Agents 777 
agentx1,Agent X 
agentx2,Agent X 
agentx3,Agent X 
agentx4,Agent X 
agress,Agress: Missile Daisenryaku 
agressb,Agress: Missile Daisenryaku 
agsoccer,A.G. Soccer Ball 
agsoccer07,A.G. Soccer Ball 
agsoccera,A.G. Soccer Ball 
agvision,AgVision 
ai1000,AI-1000 
aid80f,AID-80F Development System 
aim65,AIM 65 
aim65_40,AIM-65/40 
aimode,Ai-mode: Pet Shiiku 
ainferno,Air Inferno 
ainfernoj,Air Inferno 
ainfernou,Air Inferno 
airass,Air Assault 
airattck,Air Attack 
airattcka,Air Attack 
airbase99,AiRBase 99 
airblsjs,Air-Blaster Joystick 
airbustr,Air Buster: Trouble Specialty Raid Unit 
airbustrb,Air Buster: Trouble Specialty Raid Unit 
airbustrj,Air Buster: Trouble Specialty Raid Unit 
airco22b,Air Combat 22 
aircomb,Air Combat 
aircombj,Air Combat 
airduel,Air Duel 
airdueljm72,Air Duel 
airduelm72,Air Duel 
airduelu,Air Duel 
airrace,Air Race 
airraid,Air Raid 
airtrix,Air Trix 
airtrixo,Air Trix 
airwlkrs,Air Walkers 
airwolf,Airwolf 
airwolfa,Airwolf 
aiwamcd,Mega-CD CSD-G1M 
ajax,Ajax 
ajaxj,Ajax 
ajofrin,Ajofrin City 
ajuno1,Alpha Juno-1 Programmable Polyphonic Synth 
ajuno2,Alpha Juno-2 Programmable Polyphonic Synth 
akamaru,Panel &amp; Variety Akamaru Q Joushou Dont-R 
aking,Angler King 
akiss,Mahjong Angel Kiss 
akkaarrh,Akka Arrh 
akkanvdr,Akkanbeder 
akumajou,Akuma-Jou Dracula 
akumajoun,Akuma-Jou Dracula 
al486vd,AL486V-D 
al520ex,Aleste 520EX 
al8800bt,Altair 8800bt 
alacou,Cougar 
aladmdb,Aladdin 
alaleolx,LEOPARD LX 
alator2,Tornado 2 
albatross,Albatross 
albert,Albert 
alcapone,Al Capone 
alcat258,Terminatel 258 
alcat7100,Terminal 7100 
alcat_l7,Alley Cats 
alchemst,Alchemist 
alchemy,Alchemy 
alcon,Alcon 
alesqs7,Alesis QS7 musical keyboard 
alexkidd,Alex Kidd: The Lost Stars 
alexkidd1,Alex Kidd: The Lost Stars 
alfa,Didaktik Alfa 
alfaskop4101,Alfaskop Comm. Proc. 4101 
alfaskop4110,Alfaskop Display Unit 4110 
alfaskop4120,Alfaskop Flex. Disk Unit 4120 
algar_l1,Algar 
ali,Ali 
alibaba,Ali Baba and 40 Thieves 
alibabab,Mustafa and 40 Thieves 
alice,Alice 
alice32,Alice 32 
alice90,Alice 90 
alien,Alien: The Arcade Medal Ed. 
alien3,Alien3: The Gun 
alien3j,Alien3: The Gun 
alien3u,Alien3: The Gun 
alienar,Alien Arena 
alienaru,Alien Arena 
aliencha,Alien Challenge 
alienchac,Alien Challenge 
aliencr,Alien Crush 
alienfnt,Alien Front 
alienfnta,Alien Front 
alieninv,Alien Invasion 
alieninvp2,Alien Invasion Part II 
aliens,Aliens 
aliens2,Aliens 
aliens3,Aliens 
aliens4,Aliens 
aliensa,Aliens 
aliensec,Alien Sector 
aliensj,Aliens 
aliensj2,Aliens 
alienstr,Alien Star 
aliensu,Aliens 
aliensyn,Alien Syndrome 
aliensyn2,Alien Syndrome 
aliensyn3,Alien Syndrome 
aliensyn5,Alien Syndrome 
aliensyn7,Alien Syndrome 
aliensynj,Alien Syndrome 
aliensynjo,Alien Syndrome 
aligator,Alligator Hunt 
aligatorp,Alligator Hunt 
aligators,Alligator Hunt 
aligatorun,Alligator Hunt 
aligatoruna,Alligator Hunt 
alim1217,386sx motherboards using the ALi M1217 chipset 
alim1419,386 motherboards using the ALi M1419 chipset 
alim1429,386 motherboards using the ALi M1429 A1 and M1431 A2 chipset 
alim1489,486 motherboards using the ALi 1487/1489 chipset 
alinvade,Alien Invaders 
alleymas,Alley Master 
allied,Allied System 
alm16,Mephisto Almeria 16 Bit 
alm32,Mephisto Almeria 32 Bit 
alnattck,Alien Attack 
alnchase,Alien Chase 
alpha1v,Alpha One 
